athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Danielle Goyette,36.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Danielle Goyette 36.0 Canada 24/02/2002 Ice Hockey,danielle goyette canada ice hockey,3
Cammi Granato,30.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Cammi Granato 30.0 United States 24/02/2002 Ice Hockey,cammi granato united state ice hockey,3
Bill Guerin,31.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Bill Guerin 31.0 United States 24/02/2002 Ice Hockey,bill guerin united state ice hockey,3
Geraldine Heaney,34.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Geraldine Heaney 34.0 Canada 24/02/2002 Ice Hockey,geraldine heaney canada ice hockey,3
Jayna Hefford,24.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Jayna Hefford 24.0 Canada 24/02/2002 Ice Hockey,jayna hefford canada ice hockey,3
Erika Holst,22.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Erika Holst 22.0 Sweden 24/02/2002 Ice Hockey,erika holst sweden ice hockey,3
Phil Housley,37.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Phil Housley 37.0 United States 24/02/2002 Ice Hockey,phil housley united state ice hockey,3
Brett Hull,37.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Brett Hull 37.0 United States 24/02/2002 Ice Hockey,brett hull united state ice hockey,3
Jarome Iginla,24.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Jarome Iginla 24.0 Canada 24/02/2002 Ice Hockey,jarome iginla canada ice hockey,3
Nanna Jansson,18.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Nanna Jansson 18.0 Sweden 24/02/2002 Ice Hockey,nanna jansson sweden ice hockey,3
Curtis Joseph,34.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Curtis Joseph 34.0 Canada 24/02/2002 Ice Hockey,curtis joseph canada ice hockey,3
Ed Jovanovski,25.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Ed Jovanovski 25.0 Canada 24/02/2002 Ice Hockey,jovanovski canada ice hockey,3
Paul Kariya,27.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Paul Kariya 27.0 Canada 24/02/2002 Ice Hockey,paul kariya canada ice hockey,3
Darius Kasparaitis,29.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Darius Kasparaitis 29.0 Russia 24/02/2002 Ice Hockey,darius kasparaitis russia ice hockey,3
Becky Kellar,27.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Becky Kellar 27.0 Canada 24/02/2002 Ice Hockey,becky kellar canada ice hockey,3
Courtney Kennedy,22.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Courtney Kennedy 22.0 United States 24/02/2002 Ice Hockey,courtney kennedy united state ice hockey,3
Nikolay Khabibulin,29.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Nikolay Khabibulin 29.0 Russia 24/02/2002 Ice Hockey,nikolay khabibulin russia ice hockey,3
Andrea Kilbourne,21.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Andrea Kilbourne 21.0 United States 24/02/2002 Ice Hockey,andrea kilbourne united state ice hockey,3
Katie King,26.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Katie King 26.0 United States 24/02/2002 Ice Hockey,katie king united state ice hockey,3
Ilya Kovalchuk,18.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Ilya Kovalchuk 18.0 Russia 24/02/2002 Ice Hockey,ilya kovalchuk russia ice hockey,3
Aleksey Kovalyov,28.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Aleksey Kovalyov 28.0 Russia 24/02/2002 Ice Hockey,aleksey kovalyov russia ice hockey,3
Igor Kravchuk,35.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Igor Kravchuk 35.0 Russia 24/02/2002 Ice Hockey,igor kravchuk russia ice hockey,3
Oleg Kvasha,23.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Oleg Kvasha 23.0 Russia 24/02/2002 Ice Hockey,oleg kvasha russia ice hockey,3
Igor Larionov,41.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Igor Larionov 41.0 Russia 24/02/2002 Ice Hockey,igor larionov russia ice hockey,3
Maria Larsson,22.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Maria Larsson 22.0 Sweden 24/02/2002 Ice Hockey,maria larsson sweden ice hockey,3
John LeClair,32.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,John LeClair 32.0 United States 24/02/2002 Ice Hockey,john leclair united state ice hockey,3
Brian Leetch,33.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Brian Leetch 33.0 United States 24/02/2002 Ice Hockey,brian leetch united state ice hockey,3
Mario Lemieux,36.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Mario Lemieux 36.0 Canada 24/02/2002 Ice Hockey,mario lemieux canada ice hockey,3
Ylva Lindberg,25.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Ylva Lindberg 25.0 Sweden 24/02/2002 Ice Hockey,ylva lindberg sweden ice hockey,3
Eric Lindros,28.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Eric Lindros 28.0 Canada 24/02/2002 Ice Hockey,eric lindros canada ice hockey,3
Ulrica Lindström,22.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Ulrica Lindström 22.0 Sweden 24/02/2002 Ice Hockey,ulrica lindstr sweden ice hockey,3
Shelley Looney,30.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Shelley Looney 30.0 United States 24/02/2002 Ice Hockey,shelley looney united state ice hockey,3
Al MacInnis,38.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Al MacInnis 38.0 Canada 24/02/2002 Ice Hockey,macinnis canada ice hockey,3
Vladimir Malakhov,33.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Vladimir Malakhov 33.0 Russia 24/02/2002 Ice Hockey,vladimir malakhov russia ice hockey,3
Danny Markov,25.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Danny Markov 25.0 Russia 24/02/2002 Ice Hockey,danny markov russia ice hockey,3
Kim Martin,15.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Kim Martin 15.0 Sweden 24/02/2002 Ice Hockey,kim martin sweden ice hockey,3
Sue Merz,29.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Sue Merz 29.0 United States 24/02/2002 Ice Hockey,sue merz united state ice hockey,3
Aaron Miller,30.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Aaron Miller 30.0 United States 24/02/2002 Ice Hockey,aaron miller united state ice hockey,3
Boris Mironov,29.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Boris Mironov 29.0 Russia 24/02/2002 Ice Hockey,boris mironov russia ice hockey,3
A. J. Mleczko,26.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,A. J. Mleczko 26.0 United States 24/02/2002 Ice Hockey,mleczko united state ice hockey,3
Mike Modano,31.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Mike Modano 31.0 United States 24/02/2002 Ice Hockey,mike modano united state ice hockey,3
Tara Mounsey,23.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Tara Mounsey 23.0 United States 24/02/2002 Ice Hockey,tara mounsey united state ice hockey,3
Scott Niedermayer,28.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Scott Niedermayer 28.0 Canada 24/02/2002 Ice Hockey,scott niedermayer canada ice hockey,3
Joe Nieuwendyk,35.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Joe Nieuwendyk 35.0 Canada 24/02/2002 Ice Hockey,joe nieuwendyk canada ice hockey,3
Andrey Nikolishin,28.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Andrey Nikolishin 28.0 Russia 24/02/2002 Ice Hockey,andrey nikolishin russia ice hockey,3
Owen Nolan,29.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Owen Nolan 29.0 Canada 24/02/2002 Ice Hockey,owen nolan canada ice hockey,3
Caroline Ouellette,22.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Caroline Ouellette 22.0 Canada 24/02/2002 Ice Hockey,caroline ouellette canada ice hockey,3
Mike Peca,27.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Mike Peca 27.0 Canada 24/02/2002 Ice Hockey,mike peca canada ice hockey,3
Josefin Pettersson,18.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Josefin Pettersson 18.0 Sweden 24/02/2002 Ice Hockey,josefin pettersson sweden ice hockey,3
Cherie Piper,20.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Cherie Piper 20.0 Canada 24/02/2002 Ice Hockey,cherie piper canada ice hockey,3
Tom Poti,24.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Tom Poti 24.0 United States 24/02/2002 Ice Hockey,tom poti united state ice hockey,3
Cheryl Pounder,25.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Cheryl Pounder 25.0 Canada 24/02/2002 Ice Hockey,cheryl pounder canada ice hockey,3
Chris Pronger,27.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Chris Pronger 27.0 Canada 24/02/2002 Ice Hockey,chris pronger canada ice hockey,3
Brian Rafalski,28.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Brian Rafalski 28.0 United States 24/02/2002 Ice Hockey,brian rafalski united state ice hockey,3
Mike Richter,35.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Mike Richter 35.0 United States 24/02/2002 Ice Hockey,mike richter united state ice hockey,3
Jeremy Roenick,32.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Jeremy Roenick 32.0 United States 24/02/2002 Ice Hockey,jeremy roenick united state ice hockey,3
Brian Rolston,28.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Brian Rolston 28.0 United States 24/02/2002 Ice Hockey,brian rolston united state ice hockey,3
Maria Rooth,22.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Maria Rooth 22.0 Sweden 24/02/2002 Ice Hockey,maria rooth sweden ice hockey,3
Angela Ruggiero,22.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Angela Ruggiero 22.0 United States 24/02/2002 Ice Hockey,angela ruggiero united state ice hockey,3
Danijela Rundqvist,17.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Danijela Rundqvist 17.0 Sweden 24/02/2002 Ice Hockey,danijela rundqvist sweden ice hockey,3
Joe Sakic,32.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Joe Sakic 32.0 Canada 24/02/2002 Ice Hockey,joe sakic canada ice hockey,3
Sergey Samsonov,23.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Sergey Samsonov 23.0 Russia 24/02/2002 Ice Hockey,sergey samsonov russia ice hockey,3
Evelina Samuelsson,17.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Evelina Samuelsson 17.0 Sweden 24/02/2002 Ice Hockey,evelina samuelsson sweden ice hockey,3
Jenny Schmidgall-Potter,23.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Jenny Schmidgall-Potter 23.0 United States 24/02/2002 Ice Hockey,jenny schmidgall potter united state ice hockey,3
Brendan Shanahan,33.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Brendan Shanahan 33.0 Canada 24/02/2002 Ice Hockey,brendan shanahan canada ice hockey,3
Tammy Lee Shewchuk,24.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Tammy Lee Shewchuk 24.0 Canada 24/02/2002 Ice Hockey,tammy lee shewchuk canada ice hockey,3
Therese Sjölander,20.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Therese Sjölander 20.0 Sweden 24/02/2002 Ice Hockey,therese lander sweden ice hockey,3
Sami Jo Small,25.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Sami Jo Small 25.0 Canada 24/02/2002 Ice Hockey,sami small canada ice hockey,3
Ryan Smyth,25.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Ryan Smyth 25.0 Canada 24/02/2002 Ice Hockey,ryan smyth canada ice hockey,3
Colleen Sostorics,22.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Colleen Sostorics 22.0 Canada 24/02/2002 Ice Hockey,colleen sostorics canada ice hockey,3
Kim St-Pierre,23.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Kim St-Pierre 23.0 Canada 24/02/2002 Ice Hockey,kim pierre canada ice hockey,3
Vicky Sunohara,31.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Vicky Sunohara 31.0 Canada 24/02/2002 Ice Hockey,vicky sunohara canada ice hockey,3
Gary Suter,37.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Gary Suter 37.0 United States 24/02/2002 Ice Hockey,gary suter united state ice hockey,3
Keith Tkachuk,29.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Keith Tkachuk 29.0 United States 24/02/2002 Ice Hockey,keith tkachuk united state ice hockey,3
Sarah Tueting,25.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Sarah Tueting 25.0 United States 24/02/2002 Ice Hockey,sarah tueting united state ice hockey,3
Oleg Tverdovsky,25.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Oleg Tverdovsky 25.0 Russia 24/02/2002 Ice Hockey,oleg tverdovsky russia ice hockey,3
Anna Vikman,21.0,Sweden,2002,24/02/2002,Ice Hockey,0,0,1,1,Anna Vikman 21.0 Sweden 24/02/2002 Ice Hockey,anna vikman sweden ice hockey,3
Lyndsay Wall,16.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Lyndsay Wall 16.0 United States 24/02/2002 Ice Hockey,lyndsay wall united state ice hockey,3
Doug Weight,31.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Doug Weight 31.0 United States 24/02/2002 Ice Hockey,doug weight united state ice hockey,3
Krissy Wendell,20.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Krissy Wendell 20.0 United States 24/02/2002 Ice Hockey,krissy wendell united state ice hockey,3
Hayley Wickenheiser,23.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Hayley Wickenheiser 23.0 Canada 24/02/2002 Ice Hockey,hayley wickenheiser canada ice hockey,3
Aleksey Yashin,28.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Aleksey Yashin 28.0 Russia 24/02/2002 Ice Hockey,aleksey yashin russia ice hockey,3
Mike York,24.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Mike York 24.0 United States 24/02/2002 Ice Hockey,mike york united state ice hockey,3
Scott Young,34.0,United States,2002,24/02/2002,Ice Hockey,0,1,0,1,Scott Young 34.0 United States 24/02/2002 Ice Hockey,scott young united state ice hockey,3
Steve Yzerman,36.0,Canada,2002,24/02/2002,Ice Hockey,1,0,0,1,Steve Yzerman 36.0 Canada 24/02/2002 Ice Hockey,steve yzerman canada ice hockey,3
Aleksey Zhamnov,31.0,Russia,2002,24/02/2002,Ice Hockey,0,0,1,1,Aleksey Zhamnov 31.0 Russia 24/02/2002 Ice Hockey,aleksey zhamnov russia ice hockey,3
,,Argentina,2012,12/8/2012,Hockey,0,1,0,1,  Argentina 12/8/2012 Hockey,argentina hockey,3
,,Argentina,2012,12/8/2012,Hockey,0,1,0,1,  Argentina 12/8/2012 Hockey,argentina hockey,3
Marilyn Agliotti,33.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Marilyn Agliotti 33.0 Netherlands 12/8/2012 Hockey,marilyn agliotti netherlands hockey,3
Lucha Aymar,34.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Lucha Aymar 34.0 Argentina 12/8/2012 Hockey,lucha aymar argentina hockey,3
Sander Baart,24.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Sander Baart 24.0 Netherlands 12/8/2012 Hockey,sander baart netherlands hockey,3
Billy Bakker,23.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Billy Bakker 23.0 Netherlands 12/8/2012 Hockey,billy bakker netherlands hockey,3
Marcel Balkestein,31.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Marcel Balkestein 31.0 Netherlands 12/8/2012 Hockey,marcel balkestein netherlands hockey,3
Ashleigh Ball,26.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Ashleigh Ball 26.0 Great Britain 12/8/2012 Hockey,ashleigh ball great britain hockey,3
Noel Barrionuevo,28.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Noel Barrionuevo 28.0 Argentina 12/8/2012 Hockey,noel barrionuevo argentina hockey,3
Laura Bartlett,24.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Laura Bartlett 24.0 Great Britain 12/8/2012 Hockey,laura bartlett great britain hockey,3
Nathan Burgers,33.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Nathan Burgers 33.0 Australia 12/8/2012 Hockey,nathan burger australia hockey,3
Matthew Butturini,24.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Matthew Butturini 24.0 Australia 12/8/2012 Hockey,matthew butturini australia hockey,3
Joel Carroll,25.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Joel Carroll 25.0 Australia 12/8/2012 Hockey,joel carroll australia hockey,3
Martina Cavallero,22.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Martina Cavallero 22.0 Argentina 12/8/2012 Hockey,martina cavallero argentina hockey,3
Chris Ciriello,26.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Chris Ciriello 26.0 Australia 12/8/2012 Hockey,chris ciriello australia hockey,3
Crista Cullen,26.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Crista Cullen 26.0 Great Britain 12/8/2012 Hockey,crista cullen great britain hockey,3
Silvina D'Elia,26.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Silvina D'Elia 26.0 Argentina 12/8/2012 Hockey,silvina elia argentina hockey,3
Alex Danson,27.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Alex Danson 27.0 Great Britain 12/8/2012 Hockey,alex danson great britain hockey,3
Merel de Blaey,25.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Merel de Blaey 25.0 Netherlands 12/8/2012 Hockey,merel blaey netherlands hockey,3
Eva de Goede,23.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Eva de Goede 23.0 Netherlands 12/8/2012 Hockey,eva goede netherlands hockey,3
Teun de Nooijer,36.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Teun de Nooijer 36.0 Netherlands 12/8/2012 Hockey,teun nooijer netherlands hockey,3
Bob de Voogd,23.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Bob de Voogd 23.0 Netherlands 12/8/2012 Hockey,bob voogd netherlands hockey,3
Sander de Wijn,22.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Sander de Wijn 22.0 Netherlands 12/8/2012 Hockey,sander wijn netherlands hockey,3
Liam De Young,30.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Liam De Young 30.0 Australia 12/8/2012 Hockey,liam young australia hockey,3
Timothy Deavin,28.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Timothy Deavin 28.0 Australia 12/8/2012 Hockey,timothy deavin australia hockey,3
Oskar Deecke,26.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Oskar Deecke 26.0 Germany 12/8/2012 Hockey,oskar deecke germany hockey,3
Carlien Dirkse van den Heuvel,25.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Carlien Dirkse van den Heuvel 25.0 Netherlands 12/8/2012 Hockey,carlien dirkse van den heuvel netherlands hockey,3
Jamie Dwyer,33.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Jamie Dwyer 33.0 Australia 12/8/2012 Hockey,jamie dwyer australia hockey,3
Floris Evers,29.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Floris Evers 29.0 Netherlands 12/8/2012 Hockey,floris evers netherlands hockey,3
Russell Ford,28.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Russell Ford 28.0 Australia 12/8/2012 Hockey,russell ford australia hockey,3
Florian Fuchs,20.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Florian Fuchs 20.0 Germany 12/8/2012 Hockey,florian fuchs germany hockey,3
Moritz Fürste,27.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Moritz Fürste 27.0 Germany 12/8/2012 Hockey,moritz rste germany hockey,3
Maartje Goderie,28.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Maartje Goderie 28.0 Netherlands 12/8/2012 Hockey,maartje goderie netherlands hockey,3
Matt Gohdes,22.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Matt Gohdes 22.0 Australia 12/8/2012 Hockey,matt gohdes australia hockey,3
Kieran Govers,24.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Kieran Govers 24.0 Australia 12/8/2012 Hockey,kieran govers australia hockey,3
Florencia Habif,18.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Florencia Habif 18.0 Argentina 12/8/2012 Hockey,florencia habif argentina hockey,3
Martin Häner,23.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Martin Häner 23.0 Germany 12/8/2012 Hockey,martin ner germany hockey,3
Tobias Hauke,24.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Tobias Hauke 24.0 Germany 12/8/2012 Hockey,tobias hauke germany hockey,3
Rogier Hofman,25.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Rogier Hofman 25.0 Netherlands 12/8/2012 Hockey,rogier hofman netherlands hockey,3
Ellen Hoog,26.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Ellen Hoog 26.0 Netherlands 12/8/2012 Hockey,ellen hoog netherlands hockey,3
Tim Jenniskens,25.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Tim Jenniskens 25.0 Netherlands 12/8/2012 Hockey,tim jenniskens netherlands hockey,3
Wouter Jolie,27.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Wouter Jolie 27.0 Netherlands 12/8/2012 Hockey,wouter jolie netherlands hockey,3
Kelly Jonker,22.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Kelly Jonker 22.0 Netherlands 12/8/2012 Hockey,kelly jonker netherlands hockey,3
Fergus Kavanagh,27.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Fergus Kavanagh 27.0 Australia 12/8/2012 Hockey,fergus kavanagh australia hockey,3
Robbert Kemperman,22.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Robbert Kemperman 22.0 Netherlands 12/8/2012 Hockey,robbert kemperman netherlands hockey,3
Mark Knowles,27.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Mark Knowles 27.0 Australia 12/8/2012 Hockey,mark knowles australia hockey,3
Oliver Korn,28.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Oliver Korn 28.0 Germany 12/8/2012 Hockey,oliver korn germany hockey,3
Kim Lammers,31.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Kim Lammers 31.0 Netherlands 12/8/2012 Hockey,kim lammers netherlands hockey,3
Rosario Luchetti,28.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Rosario Luchetti 28.0 Argentina 12/8/2012 Hockey,rosario luchetti argentina hockey,3
Sofia Maccari,28.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Sofia Maccari 28.0 Argentina 12/8/2012 Hockey,sofia maccari argentina hockey,3
Hannah Macleod,28.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Hannah Macleod 28.0 Great Britain 12/8/2012 Hockey,hannah macleod great britain hockey,1
Emily Maguire,24.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Emily Maguire 24.0 Great Britain 12/8/2012 Hockey,emily maguire great britain hockey,3
Delfina Merino,22.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Delfina Merino 22.0 Argentina 12/8/2012 Hockey,delfina merino argentina hockey,3
Max Müller,25.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Max Müller 25.0 Germany 12/8/2012 Hockey,max ller germany hockey,3
María Mutio,27.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,María Mutio 27.0 Argentina 12/8/2012 Hockey,mar mutio argentina hockey,3
Eddie Ockenden,25.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Eddie Ockenden 25.0 Australia 12/8/2012 Hockey,eddie ockenden australia hockey,3
Simon Orchard,26.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Simon Orchard 26.0 Australia 12/8/2012 Hockey,simon orchard australia hockey,3
Ann Panter,28.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Ann Panter 28.0 Great Britain 12/8/2012 Hockey,ann panter great britain hockey,3
Maartje Paumen,26.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Maartje Paumen 26.0 Netherlands 12/8/2012 Hockey,maartje paumen netherlands hockey,3
Sophie Polkamp,27.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Sophie Polkamp 27.0 Netherlands 12/8/2012 Hockey,sophie polkamp netherlands hockey,3
Jan Philipp Rabente,25.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Jan Philipp Rabente 25.0 Germany 12/8/2012 Hockey,jan philipp rabente germany hockey,3
Carla Rebecchi,27.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Carla Rebecchi 27.0 Argentina 12/8/2012 Hockey,carla rebecchi argentina hockey,3
Helen Richardson,30.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Helen Richardson 30.0 Great Britain 12/8/2012 Hockey,helen richardson great britain hockey,1
Ana Rodríguez,31.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Ana Rodríguez 31.0 Argentina 12/8/2012 Hockey,ana rodr guez argentina hockey,1
Chloe Rogers,27.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Chloe Rogers 27.0 Great Britain 12/8/2012 Hockey,chloe rogers great britain hockey,3
Rocio Sánchez,23.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Rocio Sánchez 23.0 Argentina 12/8/2012 Hockey,rocio nchez argentina hockey,3
Maru Scarone,25.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Maru Scarone 25.0 Argentina 12/8/2012 Hockey,maru scarone argentina hockey,3
Joyce Sombroek,21.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Joyce Sombroek 21.0 Netherlands 12/8/2012 Hockey,joyce sombroek netherlands hockey,3
Dani Sruoga,24.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Dani Sruoga 24.0 Argentina 12/8/2012 Hockey,dani sruoga argentina hockey,3
Jose Sruoga,21.0,Argentina,2012,12/8/2012,Hockey,0,1,0,1,Jose Sruoga 21.0 Argentina 12/8/2012 Hockey,jose sruoga argentina hockey,3
Jaap Stockmann,28.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Jaap Stockmann 28.0 Netherlands 12/8/2012 Hockey,jaap stockmann netherlands hockey,3
Beth Storry,34.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Beth Storry 34.0 Great Britain 12/8/2012 Hockey,beth storry great britain hockey,3
