athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Emily Seebohm,20.0,Australia,2012,12/8/2012,Swimming,1,2,0,3,Emily Seebohm 20.0 Australia 12/8/2012 Swimming,emily seebohm australia swimming,1
Rebecca Soni,25.0,United States,2012,12/8/2012,Swimming,2,1,0,3,Rebecca Soni 25.0 United States 12/8/2012 Swimming,rebecca soni united state swimming,0
Satomi Suzuki,21.0,Japan,2012,12/8/2012,Swimming,0,1,2,3,Satomi Suzuki 21.0 Japan 12/8/2012 Swimming,satomi suzuki japan swimming,1
Dana Vollmer,24.0,United States,2012,12/8/2012,Swimming,3,0,0,3,Dana Vollmer 24.0 United States 12/8/2012 Swimming,dana vollmer united state swimming,0
Alain Bernard,25.0,France,2008,24/08/2008,Swimming,1,1,1,3,Alain Bernard 25.0 France 24/08/2008 Swimming,alain bernard france swimming,1
László Cseh Jr.,22.0,Hungary,2008,24/08/2008,Swimming,0,3,0,3,László Cseh Jr. 22.0 Hungary 24/08/2008 Swimming,szl cseh hungary swimming,1
Matt Grevers,23.0,United States,2008,24/08/2008,Swimming,2,1,0,3,Matt Grevers 23.0 United States 24/08/2008 Swimming,matt grevers united state swimming,0
Margaret Hoelzer,25.0,United States,2008,24/08/2008,Swimming,0,2,1,3,Margaret Hoelzer 25.0 United States 24/08/2008 Swimming,margaret hoelzer united state swimming,0
Katie Hoff,19.0,United States,2008,24/08/2008,Swimming,0,1,2,3,Katie Hoff 19.0 United States 24/08/2008 Swimming,katie hoff united state swimming,0
Leisel Jones,22.0,Australia,2008,24/08/2008,Swimming,2,1,0,3,Leisel Jones 22.0 Australia 24/08/2008 Swimming,leisel jones australia swimming,1
Kosuke Kitajima,25.0,Japan,2008,24/08/2008,Swimming,2,0,1,3,Kosuke Kitajima 25.0 Japan 24/08/2008 Swimming,kosuke kitajima japan swimming,1
Andrew Lauterstein,21.0,Australia,2008,24/08/2008,Swimming,0,1,2,3,Andrew Lauterstein 21.0 Australia 24/08/2008 Swimming,andrew lauterstein australia swimming,1
Jason Lezak,32.0,United States,2008,24/08/2008,Swimming,2,0,1,3,Jason Lezak 32.0 United States 24/08/2008 Swimming,jason lezak united state swimming,0
Pang Jiaying,23.0,China,2008,24/08/2008,Swimming,0,1,2,3,Pang Jiaying 23.0 China 24/08/2008 Swimming,pang jiaying china swimming,1
Aaron Peirsol,25.0,United States,2008,24/08/2008,Swimming,2,1,0,3,Aaron Peirsol 25.0 United States 24/08/2008 Swimming,aaron peirsol united state swimming,0
Steph Rice,20.0,Australia,2008,24/08/2008,Swimming,3,0,0,3,Steph Rice 20.0 Australia 24/08/2008 Swimming,steph rice australia swimming,1
Jess Schipper,21.0,Australia,2008,24/08/2008,Swimming,1,0,2,3,Jess Schipper 21.0 Australia 24/08/2008 Swimming,jess schipper australia swimming,1
Rebecca Soni,21.0,United States,2008,24/08/2008,Swimming,1,2,0,3,Rebecca Soni 21.0 United States 24/08/2008 Swimming,rebecca soni united state swimming,0
Eamon Sullivan,22.0,Australia,2008,24/08/2008,Swimming,0,2,1,3,Eamon Sullivan 22.0 Australia 24/08/2008 Swimming,eamon sullivan australia swimming,1
Dara Torres,41.0,United States,2008,24/08/2008,Swimming,0,3,0,3,Dara Torres 41.0 United States 24/08/2008 Swimming,dara torres united state swimming,0
Amanda Beard,22.0,United States,2004,29/08/2004,Swimming,1,2,0,3,Amanda Beard 22.0 United States 29/08/2004 Swimming,amanda beard united state swimming,0
Antje Buschschulte,25.0,Germany,2004,29/08/2004,Swimming,0,0,3,3,Antje Buschschulte 25.0 Germany 29/08/2004 Swimming,antje buschschulte germany swimming,1
