mission,company,location,date,time,rocket,price,successful,original_text,clean_text,cluster,PCA_1,PCA_2,cluster_label
Intelsat 32e/SkyBrasil-1 & Telkom-3S,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-02-14,21:39:00,Ariane 5 ECA,22720000,True,Intelsat 32e/SkyBrasil-1 & Telkom-3S,intelsat eskybrasil telkom s,6,-0.10741210547889828,0.22765928071264768,crs / gsat / apollo
Hispasat AG1,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2017-01-28,1:03:00,Soyuz ST-B/Fregat-MT,1050000,True,Hispasat AG1,hispasat ag,6,-0.08918056730556093,-0.034429560892936924,crs / gsat / apollo
Iridium-1,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2017-01-14,17:54:00,Falcon 9 Block 3,11640000,True,Iridium-1,iridium,6,-0.0923805423677288,-0.03755377685640992,crs / gsat / apollo
"Star One D1, JCSAT-15",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-12-21,20:30:00,Ariane 5 ECA,6590000,True,"Star One D1, JCSAT-15",star one d jcsat,6,-0.09209039196323822,-0.037276191010827846,crs / gsat / apollo
CYGNSS,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",2016-12-15,13:37:00,Pegasus XL,6550000,True,CYGNSS,cygnss,6,-0.087481490346472,-0.03283651036514249,crs / gsat / apollo
Resourcesat-2A,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2016-12-07,4:54:00,PSLV-XL,3480000,True,Resourcesat-2A,resourcesat a,6,-0.08819463546855569,-0.033485687492181095,crs / gsat / apollo
G??kt??rk-1A,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2016-12-05,13:51:00,Vega,7790000,True,G??kt??rk-1A,gktrk a,6,-0.08748149034646929,-0.032836510366208584,crs / gsat / apollo
Progress MS-04,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2016-12-01,14:52:00,Soyuz U,24900000,False,Progress MS-04,progress ms,6,-0.10953845686380043,-0.06277336541434132,crs / gsat / apollo
Soyuz MS-03,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2016-11-17,20:20:00,Soyuz FG,10020000,True,Soyuz MS-03,soyuz ms,5,-0.11089651534418357,-0.06483636749574567,soyuz / soyuz ms / ms
Galileo FOC FM7/FM12-FM14,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-11-17,13:06:00,Ariane 5 ES,1620000,True,Galileo FOC FM7/FM12-FM14,galileo foc fm fm fm,1,-0.09824633001277601,-0.04419675209042243,fm / fm fm / galileo
Soyuz MS-02,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2016-10-19,8:05:00,Soyuz FG,4150000,True,Soyuz MS-02,soyuz ms,5,-0.11089651534418357,-0.06483636749574567,soyuz / soyuz ms / ms
CRS OA-5,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2016-10-17,23:45:00,Antares 230,13770000,True,CRS OA-5,crs oa,6,-0.09958142147159493,-0.048901151362506515,crs / gsat / apollo
"Sky Muster II, GSAT-18",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-10-05,20:30:00,Ariane 5 ECA,10020000,True,"Sky Muster II, GSAT-18",sky muster ii gsat,6,-0.09142617952899781,-0.037086408358968224,crs / gsat / apollo
ScatSat-1 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2016-09-26,3:42:00,PSLV-G,8360000,True,ScatSat-1 & Rideshares,scatsat rideshares,6,-0.09080807232445404,-0.03617238578816994,crs / gsat / apollo
PeruSat-1 and SkySats 4-7,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2016-09-16,1:43:00,Vega,2380000,True,PeruSat-1 and SkySats 4-7,perusat and skysats,6,-0.08748149034646793,-0.03283651036645135,crs / gsat / apollo
INSAT-3DR,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2016-09-08,11:20:00,GSLV Mk II,23640000,True,INSAT-3DR,insat dr,6,-0.09042156334668326,-0.03568955337140153,crs / gsat / apollo
AMOS-6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-09-01,13:07:00,Falcon 9 Block 3,11300000,False,AMOS-6,amos,6,-0.08860621244275799,-0.03385775973898674,crs / gsat / apollo
"Intelsat 33e, Intelsat 36",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-08-24,22:16:00,Ariane 5 ECA,16680000,True,"Intelsat 33e, Intelsat 36",intelsat e intelsat,3,-0.14041449583858087,0.6821575015021547,intelsat / intelsat intelsat / æs
JCSAT-16,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-08-14,5:26:00,Falcon 9 Block 3,19300000,True,JCSAT-16,jcsat,6,-0.09441092213690801,-0.03956246585557291,crs / gsat / apollo
CRS-9,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-07-18,4:45:00,Falcon 9 Block 3,17800000,True,CRS-9,crs,6,-0.11235985642803023,-0.06625467006024273,crs / gsat / apollo
Progress MS-03,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2016-07-16,21:41:00,Soyuz U,21890000,True,Progress MS-03,progress ms,6,-0.10953845686380043,-0.06277336541434132,crs / gsat / apollo
Soyuz MS-01,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2016-07-07,1:36:00,Soyuz FG,2700000,True,Soyuz MS-01,soyuz ms,5,-0.11089651534418357,-0.06483636749574567,soyuz / soyuz ms / ms
Cartosat-2C & Rideshares,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2016-06-22,3:56:00,PSLV-XL,24870000,True,Cartosat-2C & Rideshares,cartosat c rideshares,6,-0.09526589210152048,-0.0406436604596316,crs / gsat / apollo
"EchoStar 18, BRISat",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-06-18,5:20:00,Ariane 5 ECA,23340000,True,"EchoStar 18, BRISat",echostar brisat,6,-0.09016258638534651,-0.03542798959506935,crs / gsat / apollo
ABS-2A & Eutelsat 117 West B,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-06-15,14:29:00,Falcon 9 Block 3,14090000,True,ABS-2A & Eutelsat 117 West B,abs a eutelsat west b,6,-0.09301766073380874,-0.03471968986372564,crs / gsat / apollo
Intelsat 31 / DLA-2,ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2016-06-09,7:10:00,Proton-M/Briz-M,9110000,True,Intelsat 31 / DLA-2,intelsat dla,6,-0.11319810173292238,0.31474149139603075,crs / gsat / apollo
Thaicom 8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-05-27,21:39:00,Falcon 9 Block 3,5740000,True,Thaicom 8,thaicom,6,-0.08975884182033825,-0.03491268070162614,crs / gsat / apollo
Galileo FOC FM10/FM11,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2016-05-24,8:48:00,Soyuz ST-B/Fregat-MT,22570000,True,Galileo FOC FM10/FM11,galileo foc fm fm,1,-0.09775334192691339,-0.04368849342219669,fm / fm fm / galileo
JCSAT-14,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-05-06,5:21:00,Falcon 9 Block 3,19400000,True,JCSAT-14,jcsat,6,-0.09441092213690801,-0.03956246585557291,crs / gsat / apollo
IRNSS-1G,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2016-04-28,7:20:00,PSLV-XL,12630000,True,IRNSS-1G,irnss g,6,-0.09360990195346054,-0.03888463376076931,crs / gsat / apollo
"Mikhailo Lomonosov, Aist-2D, & SamSat 218",Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2016-04-28,2:01:00,Soyuz 2.1a/Volga,7360000,True,"Mikhailo Lomonosov, Aist-2D, & SamSat 218",mikhailo lomonosov aist d samsat,6,-0.08748149034647185,-0.03283651036675418,crs / gsat / apollo
"Sentinel 1B, MICROSCOPE & Others",Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2016-04-25,21:02:00,Soyuz ST-A/Fregat-M,5020000,True,"Sentinel 1B, MICROSCOPE & Others",sentinel b microscope others,6,-0.08876591106623802,-0.034018600848597896,crs / gsat / apollo
CRS-8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-04-08,20:43:00,Falcon 9 Block 3,9970000,True,CRS-8,crs,6,-0.11235985642803023,-0.06625467006024273,crs / gsat / apollo
Progress MS-02,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2016-03-31,16:23:00,Soyuz 2.1a,19880000,True,Progress MS-02,progress ms,6,-0.10953845686380043,-0.06277336541434132,crs / gsat / apollo
Soyuz TMA-20M,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2016-03-18,21:26:00,Soyuz FG,14930000,True,Soyuz TMA-20M,soyuz tma m,6,-0.09349471839466074,-0.040814438483627556,crs / gsat / apollo
ExoMars Trace Gas Orbiter & Schiaparelli EDM,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2016-03-14,9:31:00,Proton-M/Briz-M,11860000,True,ExoMars Trace Gas Orbiter & Schiaparelli EDM,exomars trace gas orbiter schiaparelli edm,6,-0.08839445292873786,-0.03368582168175248,crs / gsat / apollo
Resurs-P No.3,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2016-03-13,18:56:00,Soyuz 2.1b,22470000,True,Resurs-P No.3,resursp no,6,-0.0874814903464692,-0.03283651036698506,crs / gsat / apollo
IRNSS-1F,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2016-03-10,10:31:00,PSLV-XL,16640000,True,IRNSS-1F,irnss f,6,-0.09360990195346054,-0.03888463376076931,crs / gsat / apollo
Eutelsat 65 West A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-03-09,5:20:00,Ariane 5 ECA,19070000,True,Eutelsat 65 West A,eutelsat west a,6,-0.09415640328835069,-0.03458091027815853,crs / gsat / apollo
SES-9,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2016-03-04,23:35:00,Falcon 9 Block 3,3760000,True,SES-9,ses,6,-0.09300305358238405,-0.03818291332070852,crs / gsat / apollo
Eutelsat 9B,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2016-01-29,22:20:00,Proton-M/Briz-M,11240000,True,Eutelsat 9B,eutelsat b,6,-0.0972354162813649,-0.03995890103866727,crs / gsat / apollo
Intelsat 29e,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2016-01-27,23:20:00,Ariane 5 ECA,15390000,True,Intelsat 29e,intelsat e,3,-0.15978120851655936,0.9414709268839893,intelsat / intelsat intelsat / æs
IRNSS-1E,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2016-01-20,4:01:00,PSLV-XL,14050000,True,IRNSS-1E,irnss e,6,-0.09360990195346054,-0.03888463376076931,crs / gsat / apollo
Jason-3,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2016-01-17,18:42:00,Falcon 9 v1.1,8910000,True,Jason-3,jason,6,-0.08748149034647228,-0.032836510366874315,crs / gsat / apollo
OG2 Mission 2,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2015-12-22,1:29:00,Falcon 9 Block 3,23620000,True,OG2 Mission 2,og mission,6,-0.08899298469688707,-0.03421757683669995,crs / gsat / apollo
