mission,company,location,date,time,rocket,price,successful,original_text,clean_text,cluster,PCA_1,PCA_2,cluster_label
NSS-7,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-04-16,23:02:00,Ariane 44L,4050000,True,NSS-7,nss,6,-0.08887919981451031,-0.034121284724492544,crs / gsat / apollo
STS-110,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2002-04-08,20:44:00,Space Shuttle Atlantis,10620000,True,STS-110,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
"Astra 3A, JCSAT-8",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-03-29,1:29:00,Ariane 44L,4380000,True,"Astra 3A, JCSAT-8",astra a jcsat,6,-0.09404674896488159,-0.03919180864772261,crs / gsat / apollo
STS-109,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2002-03-01,11:22:00,Space Shuttle Columbia,3230000,True,STS-109,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
Envisat,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2002-03-01,1:07:00,Ariane 5 G,21040000,True,Envisat,envisat,6,-0.0874814903464713,-0.03283651036627455,crs / gsat / apollo
Intelsat 904,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-02-23,6:59:00,Ariane 44L,8440000,True,Intelsat 904,intelsat,3,-0.15978120851655936,0.9414709268839893,intelsat / intelsat intelsat / æs
EchoStar VII,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2002-02-21,12:43:00,Atlas IIIB,4480000,True,EchoStar VII,echostar vii,6,-0.09048362102253453,-0.03573152696984745,crs / gsat / apollo
RHESSI,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",2002-02-05,20:58:00,Pegasus XL,7100000,True,RHESSI,rhessi,6,-0.0874814903464692,-0.0328365103669658,crs / gsat / apollo
Insat 3C,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-01-23,23:46:00,Ariane 42L,23860000,True,Insat 3C,insat c,6,-0.0935594775107146,-0.03871403970878746,crs / gsat / apollo
STS-108,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2001-12-05,22:19:00,Space Shuttle Endeavour,18660000,True,STS-108,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
DirecTV-4S,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-11-27,5:59:00,Ariane 44LP,21020000,True,DirecTV-4S,directv s,6,-0.0885360061166748,-0.03382650088573166,crs / gsat / apollo
"TES, BIRD & PROBA",ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2001-10-22,10:23:00,PSLV-G,4740000,True,"TES, BIRD & PROBA",tes bird proba,6,-0.08884866515751519,-0.03415334473607885,crs / gsat / apollo
Atlantic Bird 2,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-09-25,23:21:00,Ariane 44P,3500000,True,Atlantic Bird 2,atlantic bird,6,-0.0896841900281673,-0.03494392731229783,crs / gsat / apollo
Orbview-4/QuikTOMS,Northrop,"SLC-576E, Vandenberg AFB, California, USA",2001-09-21,18:49:00,Minotaur C (Taurus),20950000,False,Orbview-4/QuikTOMS,orbview quiktoms,6,-0.08846809592205836,-0.03374186493792564,crs / gsat / apollo
Intelsat 902,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-08-30,6:46:00,Ariane 44L,7500000,True,Intelsat 902,intelsat,3,-0.15978120851655936,0.9414709268839893,intelsat / intelsat intelsat / æs
STS-105,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2001-08-10,21:10:00,Space Shuttle Discovery,10400000,True,STS-105,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
Artemis & BSAT-2b,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2001-07-12,21:58:00,Ariane 5 G,24190000,False,Artemis & BSAT-2b,artemis bsat b,6,-0.08911027985400058,-0.03220097635808463,crs / gsat / apollo
STS-104,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2001-07-12,9:03:00,Space Shuttle Atlantis,9830000,True,STS-104,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
ICO F2,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2001-06-19,4:41:00,Atlas IIAS,19320000,True,ICO F2,ico f,6,-0.08748149034647383,-0.032836510366647316,crs / gsat / apollo
Intelsat 901,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-06-09,6:45:00,Ariane 44L,24850000,True,Intelsat 901,intelsat,3,-0.15978120851655936,0.9414709268839893,intelsat / intelsat intelsat / æs
STS-100,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2001-04-19,18:40:00,Space Shuttle Endeavour,18490000,True,STS-100,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
GSAT-1,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2001-04-18,10:13:00,GSLV Mk I,18110000,False,GSAT-1,gsat,6,-0.10065375256327912,-0.04715839800507049,crs / gsat / apollo
Eurobird-1 & BSat-2a,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2001-03-08,22:51:00,Ariane 5 G,15270000,True,Eurobird-1 & BSat-2a,eurobird bsat a,6,-0.08911027985400019,-0.032200976357947504,crs / gsat / apollo
STS-102,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2001-03-08,11:42:00,Space Shuttle Discovery,2800000,True,STS-102,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
STS-98,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2001-02-07,23:13:00,Space Shuttle Atlantis,4150000,True,STS-98,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
"Sicral-1, Skynet 4F",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-02-07,23:05:00,Ariane 44L,8560000,True,"Sicral-1, Skynet 4F",sicral skynet f,6,-0.08928394394993316,-0.034532005558332274,crs / gsat / apollo
Turksat 2A,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-01-10,22:09:00,Ariane 44P,7390000,True,Turksat 2A,turksat a,6,-0.08875127293730313,-0.03401777606089954,crs / gsat / apollo
"Astra 2D, GE-8, LDREX",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2000-12-20,0:26:00,Ariane 5 G,24460000,True,"Astra 2D, GE-8, LDREX",astra d ge ldrex,6,-0.09136745809339929,-0.036529099495010174,crs / gsat / apollo
STS-97,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2000-11-30,3:06:00,Space Shuttle Endeavour,19080000,True,STS-97,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
Anik F1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-11-21,23:56:00,Ariane 44L,17090000,True,Anik F1,anik f,6,-0.08968324283474513,-0.03486987867241448,crs / gsat / apollo
"PanAmSat-1R, Amsat-P3D, STRV 1C, STRV 1D",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2000-11-16,1:07:00,Ariane 5 G,19690000,True,"PanAmSat-1R, Amsat-P3D, STRV 1C, STRV 1D",panamsat r amsatp d strv c strv d,6,-0.08919170567863867,-0.03142641758594873,crs / gsat / apollo
EuropeStar F1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-10-29,5:59:00,Ariane 44LP,8120000,True,EuropeStar F1,europestar f,6,-0.08748149034647158,-0.03283651036712095,crs / gsat / apollo
STS-92,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2000-10-11,23:17:00,Space Shuttle Discovery,10080000,True,STS-92,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
HETE 2,Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2000-10-09,5:38:00,Pegasus,4840000,True,HETE 2,hete,6,-0.08788140130687816,-0.033195307439642135,crs / gsat / apollo
N-SAT 110,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-10-06,23:00:00,Ariane 42L,14310000,True,N-SAT 110,nsat,6,-0.08748149034647121,-0.03283651036671948,crs / gsat / apollo
Astra 2B & GE-7,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2000-09-14,22:54:00,Ariane 5 G,11320000,True,Astra 2B & GE-7,astra b ge,6,-0.09241996291597966,-0.03753641108224098,crs / gsat / apollo
STS-106,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2000-09-08,12:45:00,Space Shuttle Atlantis,19170000,True,STS-106,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
Eutelsat W1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-09-06,22:33:00,Ariane 44P,12210000,True,Eutelsat W1,eutelsat w,6,-0.0972354162813649,-0.03995890103866727,crs / gsat / apollo
"Brasilsat B4, Nilesat 102",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-08-17,23:16:00,Ariane 44LP,22910000,True,"Brasilsat B4, Nilesat 102",brasilsat b nilesat,6,-0.08897599522625932,-0.0342033260762543,crs / gsat / apollo
MightySat 2.1,Northrop,"SLC-8, Vandenberg AFB, California, USA",2000-07-19,20:09:00,Minotaur I,14860000,True,MightySat 2.1,mightysat,6,-0.0874814903464717,-0.03283651036733404,crs / gsat / apollo
Echostar 6,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2000-07-14,5:21:00,Atlas IIAS,2280000,True,Echostar 6,echostar,6,-0.09266333671955887,-0.037830983033789144,crs / gsat / apollo
TSX-5,Northrop,"Stargazer, Vandenberg AFB, California, USA",2000-06-07,13:19:00,Pegasus XL,15250000,True,TSX-5,tsx,6,-0.08748149034646985,-0.03283651036647245,crs / gsat / apollo
Eutelsat W4,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2000-05-24,23:10:00,Atlas IIIA,17900000,True,Eutelsat W4,eutelsat w,6,-0.0972354162813649,-0.03995890103866727,crs / gsat / apollo
STS-101,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2000-05-19,10:11:00,Space Shuttle Atlantis,23350000,True,STS-101,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
Galaxy 4R,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2000-04-19,0:29:00,Ariane 42L,4970000,True,Galaxy 4R,galaxy r,6,-0.09469604542663598,-0.040012325253783065,crs / gsat / apollo
INSAT-3B & AsiaStar,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2000-03-21,23:28:00,Ariane 5 G,17540000,True,INSAT-3B & AsiaStar,insat b asiastar,6,-0.09042156334668328,-0.03568955337140228,crs / gsat / apollo
Multispectral Thermal Imager (MTI),Northrop,"SLC-576E, Vandenberg AFB, California, USA",2000-03-12,9:29:00,Minotaur C (Taurus),19200000,True,Multispectral Thermal Imager (MTI),multispectral thermal imager mti,6,-0.08748149034647139,-0.03283651036657734,crs / gsat / apollo
Superbird 4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-02-18,1:04:00,Ariane 44LP,13550000,True,Superbird 4,superbird,6,-0.09009675749005433,-0.03527041357319323,crs / gsat / apollo
STS-99,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2000-02-11,16:43:00,Space Shuttle Endeavour,17530000,True,STS-99,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
Hispasat 1C,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2000-02-03,23:30:00,Atlas IIAS,13920000,True,Hispasat 1C,hispasat c,6,-0.09050531454347757,-0.03566529975541412,crs / gsat / apollo
JAWSat,Northrop,"SLC-8, Vandenberg AFB, California, USA",2000-01-27,3:03:00,Minotaur I,2150000,True,JAWSat,jawsat,6,-0.08748149034647061,-0.03283651036637843,crs / gsat / apollo
Galaxy 10R,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-01-25,1:04:00,Ariane 42L,12920000,True,Galaxy 10R,galaxy r,6,-0.09469604542663598,-0.040012325253783065,crs / gsat / apollo
KOMPSAT & ACRIMSAT,Northrop,"SLC-576E, Vandenberg AFB, California, USA",1999-12-31,7:13:00,Minotaur C (Taurus),24220000,True,KOMPSAT & ACRIMSAT,kompsat acrimsat,6,-0.08748149034647489,-0.03283651036609858,crs / gsat / apollo
Galaxy-11,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-12-22,0:50:00,Ariane 44L,7850000,True,Galaxy-11,galaxy,6,-0.09469604542663598,-0.040012325253783065,crs / gsat / apollo
STS-103,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1999-12-20,0:50:00,Space Shuttle Discovery,1780000,True,STS-103,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
XMM-Newton,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",1999-12-10,14:32:00,Ariane 5 G,16800000,True,XMM-Newton,xmmnewton,6,-0.08748149034647024,-0.03283651036598961,crs / gsat / apollo
Orbcomm D1-D8,Northrop,"Stargazer, Vandenberg AFB, California, USA",1999-12-04,18:53:00,Pegasus XL/HAPS,10210000,True,Orbcomm D1-D8,orbcomm d d,6,-0.09046526631534488,-0.03561895881854072,crs / gsat / apollo
Helios 1B & Cl??mentine,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-12-03,16:22:00,Ariane 40,12290000,True,Helios 1B & Cl??mentine,helios b clmentine,6,-0.08886149842976056,-0.034108568435828865,crs / gsat / apollo
GE-4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-11-13,22:54:00,Ariane 44LP,20200000,True,GE-4,ge,6,-0.09042375079814573,-0.03559101323757432,crs / gsat / apollo
Orion 2,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-10-19,6:22:00,Ariane 44LP,21950000,True,Orion 2,orion,6,-0.08748149034646951,-0.03283651036607376,crs / gsat / apollo
Telstar 7,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-09-25,6:29:00,Ariane 44LP,21820000,True,Telstar 7,telstar,6,-0.09082597586805352,-0.03597537148924748,crs / gsat / apollo
Echostar 5,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1999-09-23,6:02:00,Atlas IIAS,16190000,True,Echostar 5,echostar,6,-0.09266333671955887,-0.037830983033789144,crs / gsat / apollo
Koreasat-3,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-09-04,22:34:00,Ariane 42P,18020000,True,Koreasat-3,koreasat,6,-0.08900754080045765,-0.03423552221055421,crs / gsat / apollo
Telkom-1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-08-12,22:52:00,Ariane 42P,15110000,True,Telkom-1,telkom,6,-0.08854438278094512,-0.03149887176008354,crs / gsat / apollo
STS-93,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1999-07-23,4:31:00,Space Shuttle Columbia,19870000,True,STS-93,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
"IRS-P4, DLR-Tubsat, & Kitsat-3",ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1999-05-29,11:52:00,PSLV-G,3990000,True,"IRS-P4, DLR-Tubsat, & Kitsat-3",irsp dlrtubsat kitsat,6,-0.0884992526731917,-0.033774805445990715,crs / gsat / apollo
STS-96,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1999-05-27,10:49:00,Space Shuttle Discovery,9130000,True,STS-96,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
TERRIERS & MUBLCOM,Northrop,"Stargazer, Vandenberg AFB, California, USA",1999-05-18,5:09:00,Pegasus XL/HAPS,1050000,True,TERRIERS & MUBLCOM,terriers mublcom,6,-0.0874814903464725,-0.0328365103657345,crs / gsat / apollo
Eutelsat W3,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1999-04-12,22:50:00,Atlas IIAS,10660000,True,Eutelsat W3,eutelsat w,6,-0.0972354162813649,-0.03995890103866727,crs / gsat / apollo
Insat-2E,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-04-02,22:03:00,Ariane 42P,16230000,True,Insat-2E,insat e,6,-0.0935594775107146,-0.03871403970878746,crs / gsat / apollo
WIRE,Northrop,"Stargazer, Vandenberg AFB, California, USA",1999-03-05,2:56:00,Pegasus XL,23250000,True,WIRE,wire,6,-0.08748149034647423,-0.03283651036603019,crs / gsat / apollo
"Arabsat-3A, Skynet 4E",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-02-26,22:44:00,Ariane 44L,17090000,True,"Arabsat-3A, Skynet 4E",arabsat a skynet e,6,-0.09089917413938225,-0.03606256529277226,crs / gsat / apollo
JCSAT-6,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1999-02-16,1:45:00,Atlas IIAS,23540000,True,JCSAT-6,jcsat,6,-0.09441092213690801,-0.03956246585557291,crs / gsat / apollo
Panamsat-6B,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-12-22,1:08:00,Ariane 42L,7900000,True,Panamsat-6B,panamsat b,6,-0.091717478639604,-0.036835361078912734,crs / gsat / apollo
SWAS,Northrop,"Stargazer, Vandenberg AFB, California, USA",1998-12-06,0:57:00,Pegasus XL,21290000,True,SWAS,swas,6,-0.08748149034646692,-0.03283651036578781,crs / gsat / apollo
Satmex 5,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-12-06,0:43:00,Ariane 42L,8610000,True,Satmex 5,satmex,6,-0.08791095803955676,-0.033230331593517036,crs / gsat / apollo
STS-88,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1998-12-04,8:35:00,Space Shuttle Endeavour,4880000,True,STS-88,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
STS-95,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1998-10-29,19:19:00,Space Shuttle Discovery,21850000,True,STS-95,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
"Afristar, GE-5",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-10-28,22:15:00,Ariane 44L,11570000,True,"Afristar, GE-5",afristar ge,6,-0.08913955467097169,-0.03439189410420487,crs / gsat / apollo
SCD-2,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",1998-10-22,0:02:00,Pegasus,24620000,True,SCD-2,scd,6,-0.08820329681955752,-0.033487424544020115,crs / gsat / apollo
MaqSat 3 & ARD,ESA,"ELA-3, Guiana Space Centre, French Guiana, France",1998-10-21,16:37:00,Ariane 5 G,4130000,True,MaqSat 3 & ARD,maqsat ard,6,-0.08748149034647293,-0.03283651036690789,crs / gsat / apollo
Hot Bird 5,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1998-10-09,22:50:00,Atlas IIA,8370000,True,Hot Bird 5,hot bird,6,-0.09316589440304131,-0.038321588216632826,crs / gsat / apollo
"Eutelsat W2, Sirius-3",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-10-05,22:51:00,Ariane 44L,2230000,True,"Eutelsat W2, Sirius-3",eutelsat w sirius,6,-0.09212015708455618,-0.03631993466941234,crs / gsat / apollo
STEX (NROL-8),Northrop,"SLC-576E, Vandenberg AFB, California, USA",1998-10-03,10:04:00,Minotaur C (Taurus),5410000,True,STEX (NROL-8),stex nrol,6,-0.090267804059405,-0.03553617781179499,crs / gsat / apollo
Orbcomm C1 - C8,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1998-09-23,5:06:00,Pegasus XL/HAPS,24850000,True,Orbcomm C1 - C8,orbcomm c c,6,-0.09046526631534488,-0.03561895881854072,crs / gsat / apollo
Panamsat-7,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-09-16,6:31:00,Ariane 44LP,4270000,True,Panamsat-7,panamsat,6,-0.091717478639604,-0.036835361078912734,crs / gsat / apollo
ST-1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-08-25,23:07:00,Ariane 44P,17530000,True,ST-1,st,6,-0.08867301255688585,-0.03396829303840616,crs / gsat / apollo
Orbcomm B1 - B8,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1998-08-02,16:24:00,Pegasus XL/HAPS,2160000,True,Orbcomm B1 - B8,orbcomm b b,6,-0.09046526631534488,-0.03561895881854072,crs / gsat / apollo
Intelsat 805,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1998-06-18,22:48:00,Atlas IIAS,5430000,True,Intelsat 805,intelsat,3,-0.15978120851655936,0.9414709268839893,intelsat / intelsat intelsat / æs
STS-91,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1998-06-02,22:06:00,Space Shuttle Discovery,22120000,True,STS-91,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
"Nilesat-101, BSAT-1B",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-04-28,22:53:00,Ariane 44P,16490000,True,"Nilesat-101, BSAT-1B",nilesat bsat b,6,-0.09004208339275323,-0.032946972187997366,crs / gsat / apollo
STS-90,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1998-04-17,18:19:00,Space Shuttle Columbia,16920000,True,STS-90,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
TRACE,Northrop,"Stargazer, Vandenberg AFB, California, USA",1998-04-02,16:24:00,Pegasus XL,4840000,True,TRACE,trace,6,-0.08769257587400439,-0.033027578549687346,crs / gsat / apollo
SPOT-4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-03-24,1:46:00,Ariane 40,20440000,True,SPOT-4,spot,6,-0.08967537670517475,-0.034867350792240404,crs / gsat / apollo
Intelsat 806,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1998-02-28,0:21:00,Atlas IIAS,10680000,True,Intelsat 806,intelsat,3,-0.15978120851655936,0.9414709268839893,intelsat / intelsat intelsat / æs
Hot Bird 4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-02-27,22:38:00,Ariane 42P,17720000,True,Hot Bird 4,hot bird,6,-0.09316589440304131,-0.038321588216632826,crs / gsat / apollo
SNOE & BATSAT,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1998-02-26,7:07:00,Pegasus XL,13020000,True,SNOE & BATSAT,snoe batsat,6,-0.0874814903464701,-0.032836510367308405,crs / gsat / apollo
GFO & Orbcomm 11 and 12,Northrop,"SLC-576E, Vandenberg AFB, California, USA",1998-02-10,13:20:00,Minotaur C (Taurus),23410000,True,GFO & Orbcomm 11 and 12,gfo orbcomm and,6,-0.08918452352539674,-0.034428578065313575,crs / gsat / apollo
"Brasilsat B3, Inmarsat-3 F5",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-02-04,23:29:00,Ariane 44LP,24610000,True,"Brasilsat B3, Inmarsat-3 F5",brasilsat b inmarsat f,6,-0.09053343161553966,-0.0357375950813436,crs / gsat / apollo
STS-89,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1998-01-22,2:48:00,Space Shuttle Endeavour,5360000,True,STS-89,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
PAS-22,ILS,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",1997-12-24,23:19:00,Proton K/Block DM-3,19190000,False,PAS-22,pas,6,-0.0874814903464701,-0.0328365103672413,crs / gsat / apollo
Orbcomm A1-A8,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1997-12-23,19:11:00,Pegasus XL/HAPS,14640000,True,Orbcomm A1-A8,orbcomm a a,6,-0.09046526631534488,-0.03561895881854072,crs / gsat / apollo
Intelsat 804,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-12-22,0:16:00,Ariane 42L,2460000,True,Intelsat 804,intelsat,3,-0.15978120851655936,0.9414709268839893,intelsat / intelsat intelsat / æs
"Sirius-2, Cakrawarta-1",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-12-12,21:48:00,Ariane 44L,8920000,True,"Sirius-2, Cakrawarta-1",sirius cakrawarta,6,-0.08774169065269663,-0.03308014568700655,crs / gsat / apollo
Galaxy 8i,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1997-12-08,23:52:00,Atlas IIAS,5330000,True,Galaxy 8i,galaxy i,6,-0.09469604542663598,-0.040012325253783065,crs / gsat / apollo
"JCSAT-5, Equator S",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-12-02,22:52:00,Ariane 44P,13140000,True,"JCSAT-5, Equator S",jcsat equator s,6,-0.09080863193512917,-0.03607867931742079,crs / gsat / apollo
STS-87,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1997-11-19,19:46:00,Space Shuttle Columbia,15730000,True,STS-87,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
"MaqSat-H, TEAMSAT, MaqSat-B, YES",ESA,"ELA-3, Guiana Space Centre, French Guiana, France",1997-10-30,13:43:00,Ariane 5 G,6960000,False,"MaqSat-H, TEAMSAT, MaqSat-B, YES",maqsath teamsat maqsatb yes,6,-0.08759194526514355,-0.03293515791011428,crs / gsat / apollo
STEP-4,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1997-10-22,13:13:00,Pegasus XL,3110000,True,STEP-4,step,6,-0.08998899057288388,-0.03516129367208039,crs / gsat / apollo
Echostar 3,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1997-10-05,21:01:00,Atlas IIAS,23020000,True,Echostar 3,echostar,6,-0.09266333671955887,-0.037830983033789144,crs / gsat / apollo
IRS-1D,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1997-09-29,10:20:00,PSLV-G,9290000,False,IRS-1D,irs d,6,-0.0874814903464685,-0.03283651036711751,crs / gsat / apollo
STS-86,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-09-25,14:34:00,Space Shuttle Atlantis,9860000,True,STS-86,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
Intelsat 803,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-09-23,23:58:00,Ariane 44LP,3840000,True,Intelsat 803,intelsat,3,-0.15978120851655936,0.9414709268839893,intelsat / intelsat intelsat / æs
GE-3,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1997-09-04,12:03:00,Atlas IIAS,12790000,True,GE-3,ge,6,-0.09042375079814573,-0.03559101323757432,crs / gsat / apollo
"Hot Bird 3, Meteosat 7",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-09-02,22:21:00,Ariane 44LP,5730000,True,"Hot Bird 3, Meteosat 7",hot bird meteosat,6,-0.09238182253323847,-0.037552613015274204,crs / gsat / apollo
FORTE,Northrop,"Stargazer, Vandenberg AFB, California, USA",1997-08-29,15:02:00,Pegasus XL,7650000,True,FORTE,forte,6,-0.08748149034647214,-0.032836510365713764,crs / gsat / apollo
Panamsat-6,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-08-08,6:46:00,Ariane 44P,13940000,True,Panamsat-6,panamsat,6,-0.091717478639604,-0.036835361078912734,crs / gsat / apollo
STS-85,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-08-07,14:41:00,Space Shuttle Discovery,6570000,True,STS-85,sts,2,0.9057820322686173,0.020463996926628213,sts / æs / gstar sbs
OrbView-2,Northrop,"Stargazer, Base Aerea de Gando, Gran Canaria",1997-08-01,20:20:00,Pegasus XL,24500000,True,OrbView-2,orbview,6,-0.08900502881080567,-0.03423307307507619,crs / gsat / apollo
Superbird C,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1997-07-28,1:15:00,Atlas IIAS,11130000,True,Superbird C,superbird c,6,-0.09009675749005433,-0.03527041357319323,crs / gsat / apollo
